Date,Close,High,Low,Open,Volume
2021-02-25,135217.25432401523,153040.96232177317,134241.88422313705,148933.21600658074,24481681873.0
2021-02-26,132498.61793254316,142852.2584622167,129011.7274255827,135487.52183791995,31435997881.0
2021-02-27,133775.8760523051,139728.02505923063,131376.46470933035,132580.69478628784,20742103233.0
2021-02-28,129751.14614601061,134547.23964794353,119160.9614213258,133765.55213079974,27637026080.0
2021-03-01,143372.59305423126,143646.2832333371,129784.7911686413,129852.13713980466,24032838645.0
2021-03-02,136766.24521631375,146387.4130225852,133899.78548073024,143313.5688572824,22523669722.0
2021-03-03,144393.84476509318,151220.88739740103,135785.53978438675,136660.17615061998,22674780680.0
2021-03-04,141284.06261517853,148709.63543564826,138460.88952772692,144281.19881332666,22906118718.0
2021-03-05,140492.45384302363,141830.52578859776,132943.72100121528,141249.92544461042,21067146937.0
2021-03-06,151622.3123366274,152938.56199524924,139197.3777308911,140409.78417471796,22746262366.0
2021-03-07,157890.8565414101,158602.8491995074,149956.7606794238,151681.95171849802,23809935410.0
2021-03-08,168114.27920091522,168156.81644196063,153106.74236768112,157989.39798069745,27630991158.0
2021-03-09,171167.44196766615,171167.44196766615,165323.11809975654,168152.77859183773,23461244507.0
2021-03-10,164855.80126281828,171694.71137152612,161861.7521744594,171207.77572817355,25154173185.0
2021-03-11,167332.41272088513,168947.27314053476,158941.2232768424,164752.04752946645,24013132909.0
2021-03-12,162375.96847279742,168551.29538416117,158424.79231278598,167364.64841078594,22435821312.0
2021-03-13,176356.9965603836,177544.5159778297,158851.68590777367,162381.82950732484,25014689475.0
2021-03-14,169931.8710152395,176915.41669164598,169066.49597837403,176281.70911113918,19344589211.0
2021-03-15,164171.88340751454,173105.1961749829,160314.67394800857,169888.10340435058,26244738810.0
2021-03-16,165571.01525286958,166495.4033015035,157606.7529593557,164237.0818240419,23828509590.0
2021-03-17,167080.83564342186,168580.76833450422,160275.6041128859,165578.7442125231,24512917348.0
2021-03-18,163361.22627314553,169389.59109928831,156293.05352186412,167054.18135853857,23263845504.0
2021-03-19,166547.0788349323,168706.9483545497,160027.6062931493,163334.98583993688,21249297710.0
2021-03-20,166089.89577143267,171777.70541006327,166006.87936253473,166537.78395002335,22677674970.0
2021-03-21,163852.53532203287,167072.01053608954,161646.3144148551,166087.32317994162,22977404620.0
2021-03-22,154975.23793798685,166028.83587165177,153414.41312482953,163865.83450152352,23599296129.0
2021-03-23,153813.03058377653,158069.9872054495,152336.86640103534,154932.8908450082,21998237965.0
2021-03-24,146002.87770575657,159473.69378958642,143929.72688974813,153753.6932017766,31228051473.0
2021-03-25,146181.1694812663,148980.6411714591,142975.183594767,145976.29053195566,29650328701.0
2021-03-26,156029.70963462442,156037.11422404647,146124.1250612475,146167.50119082257,22548516548.0
2021-03-27,157280.68258045614,158776.95771754906,153416.20275369287,156047.4940714538,18102277710.0
2021-03-28,154977.2512704581,158388.4292913191,153264.19615211338,157272.52858394757,16599472938.0
2021-03-29,166735.90705037487,168339.69414143264,154277.26031092554,154968.75053335726,22796570548.0
2021-03-30,169150.2170536369,170519.24957854673,164375.3082833737,166715.87439228594,22512781703.0
2021-03-31,175777.5930306986,178478.4226149805,164290.99439354986,169156.1340140663,30226902621.0
2021-04-01,181175.89664514363,182255.12114599717,175210.99653256685,175850.4532957971,30914259795.0
2021-04-02,196381.61250463128,197227.01080930978,179655.02529636025,181144.36562160775,34862511022.0
2021-04-03,185862.31945329532,196540.75525130332,185862.31945329532,196351.4125175625,32011518871.0
2021-04-04,191790.74469260126,193369.5776461959,183909.64421533048,185793.48585313928,26006501902.0
2021-04-05,193143.5922614783,196176.3420740068,186225.64766809344,191803.38394644856,28889391170.0
2021-04-06,194104.9361461401,197114.44315380603,188536.66253039986,193290.744494766,29222865881.0
2021-04-07,180607.83488838002,195461.83275032043,178258.9134497121,194045.34150499105,36116271935.0
2021-04-08,191373.91775996983,191643.547718592,179508.4882479943,180429.69970539582,25312956529.0
2021-04-09,189865.26062817872,192684.2169026211,188312.55625598878,191392.10486329347,19812472092.0
