Date,Close,High,Low,Open,Volume
2021-02-16,4508134.880344033,4612704.6844575405,4325008.243497133,4393102.547969699,77049582886.0
2021-02-17,4778361.32226634,4813629.896201849,4496452.89897573,4508813.50760901,80820545404.0
2021-02-18,4735367.994305134,4808149.694696546,4674523.476357937,4777625.068951964,52054723579.0
2021-02-19,5120973.598675489,5141637.727308869,4667331.67380774,4735018.300825238,63495496918.0
2021-02-20,5140342.75186336,5269146.278341055,5005376.817357659,5120900.581817865,68145460026.0
2021-02-21,5272327.522608519,5344771.6989963055,5101225.402094364,5137506.548040748,51897585191.0
2021-02-22,4966962.433806181,5271726.9231619835,4486849.034643531,5271667.149557948,92052420332.0
2021-02-23,4473733.202629924,4966743.383233309,4149931.3572775126,4966743.383233309,106102492824.0
2021-02-24,4554449.759475589,4699663.824704289,4326125.687759399,4474709.982063532,63695521388.0
2021-02-25,4315162.421342611,4760031.943448067,4315162.421342611,4554793.368217349,54506565949.0
2021-02-26,4246065.924706578,4432166.566798568,4073352.78028965,4323098.709499955,350967941479.0
2021-02-27,4232201.669902325,4421398.727853656,4147955.607012391,4246525.14347291,45910946382.0
2021-02-28,4135928.585199237,4280579.633187532,3962186.0462601185,4232711.356202602,53443887451.0
2021-03-01,4547660.981345415,4561659.458314419,4133850.8260889053,4137920.0841983557,53891300112.0
2021-03-02,4432918.210921168,4593133.661133885,4327531.620194435,4545907.50298512,47530897720.0
2021-03-03,4630768.482352495,4813741.926968694,4423327.589842558,4436292.735105872,53220811975.0
2021-03-04,4449611.153106809,4740434.433617234,4366756.705621004,4629308.145200014,52343816680.0
2021-03-05,4483159.893704653,4526145.347298861,4264644.061936855,4446483.239779472,48625928883.0
2021-03-06,4481792.617253065,4503310.398854256,4330159.869143128,4480587.481176496,34363564661.0
2021-03-07,4692017.814348578,4708298.068118334,4482369.593598604,4482369.593598604,43137459378.0
2021-03-08,4787296.5812551975,4793485.833716154,4536190.176182985,4689033.071330309,48597428048.0
2021-03-09,5023478.913310289,5023478.913310289,4763043.172973514,4789719.738736153,50912227385.0
2021-03-10,5132007.376469493,5246516.421364188,4882990.899983883,5023469.249314427,57295577614.0
2021-03-11,5296625.313686013,5322825.838171005,4992368.721001625,5127850.0686199665,56772343595.0
2021-03-12,5253281.9343191385,5314172.266765237,5074106.798002481,5298100.325795174,55689944702.0
2021-03-13,5611642.58679986,5652030.573061824,5151196.492993712,5254315.623950601,60669829814.0
2021-03-14,5433811.81968534,5644155.490211606,5433811.81968534,5609631.043957472,43901225564.0
2021-03-15,5122720.634371877,5547310.440123796,5075620.108169317,5430615.184609652,66419369890.0
2021-03-16,5204976.2720400095,5207567.296708345,4907193.482805848,5116635.180384994,59749798599.0
2021-03-17,5394281.065648913,5403345.177915931,4996403.618236899,5206893.680404186,60258313191.0
2021-03-18,5301555.025352955,5508391.73915863,4971200.990806103,5396313.726111889,55746041000.0
2021-03-19,5346245.279402375,5451776.472141266,5190205.749179363,5300777.968500495,49063873786.0
2021-03-20,5343220.80662334,5500606.495677352,5334026.051449299,5344926.68085587,50361731222.0
2021-03-21,5270813.4965901375,5384843.636801004,5131738.57421422,5342878.987510443,51943414539.0
2021-03-22,4996450.864438891,5357683.15539372,4974369.34974575,5270306.673696041,56521454974.0
2021-03-23,5015674.69976306,5129889.887598395,4899466.223299742,4994848.788680434,56435023914.0
2021-03-24,4835653.068994045,5246894.748905897,4811835.61430347,5013067.210509181,70567223787.0
2021-03-25,4737600.3773492575,4892290.885335088,4659936.569418669,4831298.901969552,67999812841.0
2021-03-26,5052176.685911179,5052176.685911179,4726210.46341145,4735662.567216039,56652197978.0
2021-03-27,5128796.782288671,5183288.833622575,4970223.495520949,5052199.951086402,47266542233.0
2021-03-28,5126710.790885568,5187146.199674606,5046110.917841792,5128927.783121467,47686580918.0
2021-03-29,5291592.877322316,5345827.937951446,5052362.449387193,5126449.8629972935,57625587027.0
2021-03-30,5398569.016405463,5447089.434148192,5245902.220738292,5291586.792584181,54414116432.0
2021-03-31,5398673.530731082,5491328.34379828,5289413.82521832,5399722.253244996,65520826225.0
2021-04-01,5414889.71578753,5459811.9057376385,5360779.929178834,5399381.86583519,61669163792.0
2021-04-02,5441325.0395793915,5522221.991014481,5394133.242304802,5415171.045444846,58727860620.0
2021-04-03,5278186.767507076,5507843.754800677,5278186.767507076,5442525.164695144,59641344484.0
2021-04-04,5383987.478352785,5398207.51137507,5238308.46754539,5278273.743469834,50749662970.0
2021-04-05,5411414.256534934,5487779.509762287,5286518.92156899,5384200.086261749,60706272115.0
2021-04-06,5332107.569307804,5450054.133323193,5282119.297971368,5421864.973245263,66058027988.0
2021-04-07,5135707.971033096,5381475.913205981,5094940.941377878,5331571.396500349,75645303584.0
2021-04-08,5344165.372737408,5345520.121786952,5120144.642585993,5140378.9023664,53053855641.0
2021-04-09,5336931.334946036,5400342.538609028,5296876.577578425,5344404.467153549,46655208546.0
2021-04-10,5478794.1411652565,5614719.316741705,5318028.55903995,5337735.236231446,58238470525.0
2021-04-11,5516520.591381669,5570177.601887941,5432664.667583942,5483650.120123029,46280252580.0
2021-04-12,5487977.084788799,5612554.223742843,5460160.525440216,5513861.560816526,51828688519.0
2021-04-13,5818758.124782443,5840641.706523299,5485824.161266208,5487662.468034625,69983454362.0
2021-04-14,5782678.133120298,5943340.632623076,5640204.347607136,5820617.90709722,77451779687.0
2021-04-15,5801399.440659642,5847915.832001209,5700145.102978349,5779516.932696104,60954381579.0
2021-04-16,5641852.95371604,5827120.702535033,5518130.183581352,5796313.315430045,84293007468.0
2021-04-17,5560397.63807559,5733425.757172465,5530850.14969039,5637925.076286793,66138759198.0
2021-04-18,5151032.562989831,5594633.596156955,4840717.36075151,5562053.044774175,97468872758.0
