Date,Open,High,Low,Close,Volume
2021-01-22,102412.89618003368,116684.91409949586,96409.97653930262,113152.36354055628,1161838849
2021-01-23,113147.43480570614,116220.83068471774,110190.16036681458,112539.41221601889,866391994
2021-01-24,112543.69272723794,127653.09263909608,112290.9749212712,127649.99681244418,1053793802
2021-01-25,127650.38798187673,133866.57319723442,119803.98739195988,121103.73165363073,1238652301
2021-01-26,121105.62044317648,125750.35510901362,114495.53878550977,124109.08640391752,1158684637
2021-01-27,124101.68771350756,125169.6361457184,111109.53147227317,114217.27202746272,1092748209
2021-01-28,114217.56261046976,124262.97245868295,112591.2365776971,122073.79831754789,938400519
2021-01-29,122080.17996743321,131125.28016645834,118619.52635019645,126757.80639441311,1455199689
2021-01-30,126757.37051990256,128311.8107872419,121951.97697998211,126569.75448378175,1009823624
2021-01-31,126568.15627724305,126568.15627724305,118326.16045205295,120676.44051805139,1023645002
2021-02-01,120674.93172166869,125649.63456826657,116744.20420920104,125571.1436275579,1224941384
2021-02-02,125565.33196741715,141213.41689297557,125238.50431838632,139118.02282922715,1459049863
2021-02-03,139120.0680865459,152209.98315710947,138804.68493748456,152209.98315710947,1257501210
2021-02-04,152219.5276912637,155047.06799378246,143357.05891216174,146148.74574211985,1607652193
2021-02-05,146170.10359313712,160666.27277372032,146124.5491186492,157278.4549048245,1494804733
2021-02-06,157285.5183071494,158888.1841773875,151123.9291683063,153745.30082733184,1317722507
2021-02-07,153746.20610516146,154450.00932447612,138011.54979604483,148245.1344938539,1177101300
2021-02-08,148243.90510420874,162303.97624884546,144193.22269118205,159601.28605292737,1927286850
2021-02-09,159604.6501100473,166514.53519709036,157195.73933424428,162346.64724580199,1303921945
2021-02-10,162354.96239031106,167241.45094173402,154600.88896274567,160058.70841108263,1431037416
2021-02-11,160059.16663813218,165664.7922506258,156734.48351565003,163462.08364712447,1173684447
2021-02-12,163445.79982246086,170100.0389209278,159755.49621950835,168552.43853052333,1274628644
2021-02-13,168551.92442212626,170951.5477179736,162215.4266655855,166084.34940771013,1228865741
2021-02-14,166085.15409911424,169085.36776543033,163956.65592510253,165439.88100317866,1107329494
2021-02-15,165445.45796165988,167728.93746484816,154309.50126430392,162794.79330027103,1576526836
2021-02-16,162801.14142134786,166889.71138798445,158613.44912050292,162912.05471988022,1206962747
2021-02-17,162909.24947623536,169997.83193633705,158618.44491297007,169139.81855044139,1352057000
2021-02-18,169140.72382827103,178257.47509106994,169091.3582458831,176902.02830220386,1282085571
2021-02-19,176901.5812514238,180681.82029505447,173749.5379639305,179439.47735354304,1319592497
2021-02-20,179439.47735354304,186291.33524933457,171348.5399869345,175226.69432766736,1687922976
2021-02-21,175228.76193752512,180720.14372317493,173286.60570491105,176730.71844328567,1138893041
2021-02-22,176731.9031278528,177048.40390386432,147609.7635726966,162531.77097382396,2013426562
2021-02-23,162516.89535911754,162973.49067332968,123237.24797264859,142815.84806155413,2959363699
2021-02-24,142816.57451907173,156423.74969470128,138281.19965030625,148568.91102131084,1571794483
2021-02-25,148568.84396369383,152421.41582353786,134424.19081147015,135431.16151728109,1113975341
2021-02-26,135428.55744648725,142285.03114158288,128698.18560017645,132086.2493470013,1433890550
2021-02-27,132094.10626446083,140075.27031202614,131556.10300320014,134004.27601376176,999747560
2021-02-28,134001.4372413084,134086.5110047534,119644.28967705369,130296.47037276998,1435148330
2021-03-01,130298.99620967731,143387.99482614174,129798.77991560102,143387.99482614174,1164382730
