Price,Close,High,Low,Open,Volume
Ticker,ZEC-USD,ZEC-USD,ZEC-USD,ZEC-USD,ZEC-USD
Date,,,,,
2021-01-20,96.29203033447266,104.43865203857422,92.4702377319336,103.91065216064453,1447587105
2021-01-21,84.9564208984375,96.3354721069336,84.83463287353516,96.29718780517578,1230180805
2021-01-22,87.24115753173828,91.05371856689453,77.05729675292969,84.94209289550781,1077478509
2021-01-23,86.13689422607422,89.96664428710938,84.4024887084961,87.21054077148438,684900349
2021-01-24,89.73221588134766,91.69026184082031,85.62357330322266,86.14411163330078,881710379
2021-01-25,88.98917388916016,95.76715850830078,88.98917388916016,89.72384643554688,1173674738
2021-01-26,86.91070556640625,89.30033111572266,85.03447723388672,88.97550964355469,1007200263
2021-01-27,79.51773834228516,87.54720306396484,79.08216857910156,86.91036987304688,852054063
2021-01-28,86.77916717529297,87.42532348632812,77.721435546875,79.50444793701172,816000165
2021-01-29,85.86747741699219,89.84869384765625,82.798583984375,87.68917846679688,1117690216
2021-01-30,84.14010620117188,86.07218170166016,83.40229034423828,85.85995483398438,584609566
2021-01-31,85.73783874511719,86.19439697265625,83.70909118652344,84.15827178955078,588229353
2021-02-01,87.98420715332031,88.99236297607422,84.6747055053711,85.7403335571289,669014662
2021-02-02,92.36051940917969,93.1297836303711,88.0068588256836,88.0068588256836,1062402040
2021-02-03,95.61308288574219,96.55522918701172,92.35978698730469,92.35978698730469,844106495
2021-02-04,91.75053405761719,96.1258544921875,91.27194213867188,95.58667755126953,902069032
2021-02-05,96.25114440917969,96.25114440917969,89.97252655029297,91.74806213378906,813175336
2021-02-06,95.672119140625,98.5766372680664,92.99868774414062,96.2420425415039,929548918
2021-02-07,92.5928955078125,96.52799987792969,89.79348754882812,95.65953063964844,887393084
2021-02-08,96.94774627685547,97.43366241455078,91.86483001708984,92.57826232910156,1021775712
2021-02-09,108.59785461425781,109.41793060302734,96.45159149169922,96.94036102294922,1246336165
2021-02-10,115.15769958496094,120.1117172241211,107.58354187011719,108.59197998046875,1600669746
2021-02-11,142.39263916015625,149.19070434570312,114.1168441772461,115.13836669921875,2380537719
2021-02-12,143.50059509277344,148.05206298828125,133.67953491210938,142.31927490234375,1734633064
2021-02-13,176.22486877441406,187.94337463378906,143.3046417236328,143.44818115234375,3184403034
2021-02-14,157.32894897460938,178.9927520751953,154.684814453125,176.22927856445312,2173645278
2021-02-15,159.948974609375,178.12925720214844,130.4385223388672,157.2394561767578,2962661784
2021-02-16,155.33609008789062,166.0731658935547,150.26220703125,159.5673370361328,2098234776
2021-02-17,168.76173400878906,172.1782989501953,148.43630981445312,155.3372802734375,1953287618
2021-02-18,168.38462829589844,177.322509765625,158.83914184570312,168.71054077148438,1127206904
2021-02-19,180.4175567626953,188.61231994628906,164.95558166503906,168.43179321289062,1405794120
2021-02-20,164.22328186035156,183.74594116210938,157.1519012451172,180.2967529296875,1224245823
2021-02-21,162.64097595214844,167.73512268066406,160.6516571044922,164.14385986328125,776014392
2021-02-22,144.8544158935547,163.0492706298828,123.84321594238281,162.64666748046875,1229867718
2021-02-23,124.8004150390625,144.8870086669922,105.87097930908203,144.82359313964844,1410540185
2021-02-24,130.4553985595703,134.31292724609375,122.4398193359375,124.89537048339844,939677210
2021-02-25,123.8416519165039,138.87783813476562,123.8416519165039,130.41665649414062,753364811
2021-02-26,117.80870056152344,124.63262176513672,114.62432861328125,124.00279998779297,762804746
2021-02-27,119.69973754882812,123.57295227050781,117.82676696777344,117.8309097290039,513738192
2021-02-28,109.71210479736328,119.83760833740234,105.7856216430664,119.70118713378906,552142906
