Price,Close,High,Low,Open,Volume
Ticker,SOL16116-USD,SOL16116-USD,SOL16116-USD,SOL16116-USD,SOL16116-USD
Date,,,,,
2022-01-18,141.3451690673828,141.76783752441406,135.63800048828125,139.6455078125,1326429
2022-01-19,135.72720336914062,141.76565551757812,133.9288787841797,141.3451690673828,1414553
2022-01-20,129.2533416748047,142.5895538330078,129.2533416748047,135.72720336914062,1411447
2022-01-21,111.63534545898438,129.27471923828125,108.89129638671875,129.2533416748047,4719093
2022-01-22,94.14859008789062,112.66938781738281,89.47655487060547,111.63534545898438,5060691
2022-01-23,99.86206817626953,104.32603454589844,93.80435943603516,94.14859008789062,2748694
2022-01-24,91.54126739501953,99.86206817626953,81.8918228149414,99.86206817626953,4317826
2022-01-25,95.01471710205078,99.40643310546875,88.00737762451172,91.54126739501953,2874922
2022-01-26,92.2116470336914,102.88619232177734,89.91082763671875,95.01471710205078,2691958
2022-01-27,89.48778533935547,93.8935317993164,86.26808166503906,92.2116470336914,2405858
2022-01-28,91.43327331542969,93.15447235107422,87.65886688232422,89.48778533935547,1670473
2022-01-29,96.0455093383789,98.314697265625,91.31758880615234,91.43327331542969,1404086
2022-01-30,93.34063720703125,96.84040069580078,92.19203186035156,96.0455093383789,1115047
2022-01-31,99.38880920410156,100.20849609375,89.79694366455078,93.34063720703125,1370049
2022-02-01,109.84008026123047,112.0782241821289,99.29535675048828,99.38880920410156,2762198
2022-02-02,101.95940399169922,111.36190795898438,98.16458129882812,109.84008026123047,2640689
2022-02-03,100.97795867919922,102.79196166992188,94.98169708251953,101.95940399169922,2312127
2022-02-04,111.99600219726562,112.23090362548828,100.55740356445312,100.97795104980469,2360707
2022-02-05,113.67166137695312,117.74788665771484,110.46368408203125,111.9959945678711,1831304
2022-02-06,115.0877914428711,115.4034423828125,112.20348358154297,113.67166900634766,937558
2022-02-07,117.4255599975586,121.21569061279297,112.99459838867188,115.0877914428711,1725583
2022-02-08,113.42378997802734,119.80859375,110.28587341308594,117.4255599975586,1540782
2022-02-09,114.19200134277344,115.9443130493164,110.21550750732422,113.42378997802734,1365394
