Price,Close,High,Low,Open,Volume
Ticker,ROLL39355-USD,ROLL39355-USD,ROLL39355-USD,ROLL39355-USD,ROLL39355-USD
Date,,,,,
2026-01-16,0.08034499734640121,0.09465599805116653,0.06877899914979935,0.07256799936294556,552712852
2026-01-17,0.08912300318479538,0.09340199828147888,0.07742299884557724,0.08034499734640121,1525355848
2026-01-18,0.1198360025882721,0.1219940036535263,0.08534999936819077,0.0891219973564148,1865984223
2026-01-19,0.15940700471401215,0.1840600073337555,0.10976800322532654,0.11474400013685226,2413741455
2026-01-20,0.13971439003944397,0.17156538367271423,0.12872281670570374,0.16109558939933777,2352593152
